Year,Customer category,Number of Customers,Energy Sold (GWh)
2016,Residential,6760629,143660
2016,Commercial,1466826,48225
2016,Government,263772,38498
2016,Industrial,10184,53587
2016,Others,105589,12702
2017,Residential,7103515,143473
2017,Commercial,1569923,48349
2017,Government,272713,38666
2017,Industrial,10783,54863
2017,Others,112579,13089
2018,Residential,7420818,130428
2018,Commercial,1609313,46849
2018,Government,278020,43909
2018,Industrial,11470,58177
2018,Others,114868,19824
2019,Residential,7728246,128504
2019,Commercial,1636374,46104
2019,Government,282349,40716
2019,Industrial,11942,56509
2019,Others,119518,16764
2020,Residential,8061992,137653
2020,Commercial,1660881,41071
2020,Government,284917,36190
2020,Industrial,12335,57880
2020,Others,122306,16539
